asset_a,asset_b,r2_real,r2_shuffled,delta
UMAUSDT_h1,MANTAUSDT_h1,0.9800963522197008,0.349427943252136,0.6306684089675648
UMAUSDT_h1,OMNIUSDT_h1,0.9766473720502387,0.3465297117651316,0.6301176602851071
XCHUSDT_h1,EIGENUSDT_h1,0.882618606253573,0.25330866601197066,0.6293099402416024
XCHUSDT_h1,ALICEUSDT_h1,0.8793783975571274,0.2507897578226259,0.6285886397345015
UMAUSDT_h1,RPLUSDT_h1,0.9735179156807953,0.3451370854188166,0.6283808302619787
UMAUSDT_h1,CHRUSDT_h1,0.9778538039806638,0.3495108051253123,0.6283429988553515
USTCUSDT_h1,HBARUSDT_h1,0.8646569249716329,0.2366473463935107,0.6280095785781222
ONTUSDT_h1,VETUSDT_h1,0.9605369753522683,0.33259970560101415,0.6279372697512542
UMAUSDT_h1,METISUSDT_h1,0.9707763705572955,0.34303973050293124,0.6277366400543642
RUNEUSDT_h1,ALGOUSDT_h1,0.9400900125062457,0.31329454882033414,0.6267954636859115
UMAUSDT_h1,C98USDT_h1,0.9719146951441212,0.3458475772790075,0.6260671178651137
UMAUSDT_h1,ROSEUSDT_h1,0.9780322780110444,0.3520447585999822,0.6259875194110622
UMAUSDT_h1,ARBUSDT_h1,0.9741615312397938,0.3486029170854552,0.6255586141543386
RUNEUSDT_h1,1000XECUSDT_h1,0.9319973394314122,0.3064621731151811,0.6255351663162311
USTCUSDT_h1,NMRUSDT_h1,0.8610764816598697,0.23562588972642295,0.6254505919334468
BATUSDT_h1,RDNTUSDT_h1,0.9784212906583403,0.3532196652947517,0.6252016253635886
XCHUSDT_h1,ADAUSDT_h1,0.8646735331009612,0.23949349393105435,0.6251800391699068
UMAUSDT_h1,AEVOUSDT_h1,0.97586721552611,0.3509904980125865,0.6248767175135235
USTCUSDT_h1,ILVUSDT_h1,0.8682203564297709,0.24378242586248888,0.624437930567282
BLURUSDT_h1,PYTHUSDT_h1,0.9488916076458979,0.3246177763572299,0.624273831288668
USTCUSDT_h1,1000000BABYDOGEUSDT_h1,0.8726280940745305,0.24846230809089398,0.6241657859836365
UMAUSDT_h1,MAVUSDT_h1,0.9712975182124224,0.3475101040718831,0.6237874141405393
ONTUSDT_h1,ZRXUSDT_h1,0.9488378305865717,0.32507345442899516,0.6237643761575765
UMAUSDT_h1,SCRUSDT_h1,0.9668686276086158,0.34335684637989095,0.6235117812287249
UMAUSDT_h1,RLCUSDT_h1,0.9737296918187484,0.3506781594755888,0.6230515323431596
UMAUSDT_h1,THEUSDT_h1,0.9700468574381079,0.34701388107911246,0.6230329763589955
USTCUSDT_h1,HPOS10IUSDT_h1,0.8486073513459064,0.22558932130317078,0.6230180300427356
USTCUSDT_h1,QTUMUSDT_h1,0.8501152020300999,0.22737759993940565,0.6227376020906943
UMAUSDT_h1,WAVESUSDT_h1,0.9723140154303459,0.3497051372445471,0.6226088781857988
UMAUSDT_h1,CHESSUSDT_h1,0.9700540732370192,0.34777686306653965,0.6222772101704795
BLURUSDT_h1,LINKUSDT_h1,0.9517518794223866,0.32982798929011714,0.6219238901322695
USDEUSDT_h1,GPSUSDT_h1,0.65273203463726,0.032442399920815435,0.6202896347164446
USTCUSDT_h1,SLPUSDT_h1,0.8569258761781817,0.23667727375726,0.6202486024209217
HOTUSDT_h1,OGNUSDT_h1,0.9170324191446173,0.2971513615697251,0.6198810575748922
ONTUSDT_h1,BICOUSDT_h1,0.951720482104288,0.33207265955834686,0.6196478225459411
BATUSDT_h1,FLOWUSDT_h1,0.9771235613802787,0.3574879740938177,0.619635587286461
UMAUSDT_h1,JUPUSDT_h1,0.9719179574048343,0.35258649657015195,0.6193314608346824
USTCUSDT_h1,BICOUSDT_h1,0.859345017579512,0.24077245706378037,0.6185725605157316
USDEUSDT_h1,THETAUSDT_h1,0.6528551957504451,0.034678598845753306,0.6181765969046918
UMAUSDT_h1,MINAUSDT_h1,0.9702759908497168,0.3522347967376529,0.6180411941120639
XCHUSDT_h1,DYMUSDT_h1,0.8730627802119406,0.25531742049499717,0.6177453597169434
USTCUSDT_h1,FLUXUSDT_h1,0.8578623952614569,0.24016673746014328,0.6176956578013136
UMAUSDT_h1,XVSUSDT_h1,0.9674306791784562,0.3497834469135598,0.6176472322648964
BATUSDT_h1,LRCUSDT_h1,0.9786444064997732,0.361180074430802,0.6174643320689712
ONTUSDT_h1,MDTUSDT_h1,0.9292429433157195,0.31197211183384377,0.6172708314818758
USTCUSDT_h1,CELRUSDT_h1,0.8601750741076231,0.243046903789496,0.6171281703181271
XCHUSDT_h1,SCRUSDT_h1,0.8679867215685024,0.25118863671121694,0.6167980848572855
UMAUSDT_h1,GUSDT_h1,0.9619947754163406,0.34581989465045726,0.6161748807658833
USTCUSDT_h1,RDNTUSDT_h1,0.8576629114382961,0.24245352702849166,0.6152093844098044
USTCUSDT_h1,LINKUSDT_h1,0.8452552115560347,0.23005193400581647,0.6152032775502182
UMAUSDT_h1,LUMIAUSDT_h1,0.9520950682270096,0.33698372600179416,0.6151113422252155
BATUSDT_h1,SLPUSDT_h1,0.970377689260381,0.3552834565401306,0.6150942327202504
XCHUSDT_h1,INJUSDT_h1,0.8565534906668719,0.24155781077640837,0.6149956798904636
BALUSDT_h1,ETHBTCUSDT_h1,0.9888713259237298,0.37409747507237345,0.6147738508513564
UMAUSDT_h1,WOOUSDT_h1,0.9542784510924801,0.3404916221186335,0.6137868289738466
USDEUSDT_h1,CLOUDUSDT_h1,0.6419950634709568,0.02908956177814792,0.6129055016928089
USDEUSDT_h1,ZKUSDT_h1,0.6480789198359579,0.03569819900957116,0.6123807208263867
UMAUSDT_h1,ETCUSDT_h1,0.9660757116132642,0.35383294661964626,0.612242764993618
BLURUSDT_h1,ILVUSDT_h1,0.9460393181911013,0.33380793353287663,0.6122313846582247
ZILUSDT_h1,MDTUSDT_h1,0.9085420585912868,0.29661566848243526,0.6119263901088515
XCHUSDT_h1,RVNUSDT_h1,0.8555636208503014,0.24375613345573321,0.6118074873945681
ORBSUSDT_h1,COREUSDT_h1,0.8984586520754683,0.28701209801855887,0.6114465540569094
BATUSDT_h1,CELRUSDT_h1,0.96594792250429,0.3545262597484984,0.6114216627557916
USTCUSDT_h1,FLOWUSDT_h1,0.8427607585352515,0.23143520390231298,0.6113255546329385
BATUSDT_h1,AIUSDT_h1,0.9744371010858591,0.363200977933019,0.6112361231528401
XCHUSDT_h1,SONICUSDT_h1,0.8394899388590619,0.22826443785852502,0.6112255010005369
UMAUSDT_h1,PEOPLEUSDT_h1,0.9590520937239474,0.34832237558797596,0.6107297181359714
