pair,zscore,abs_zscore
BANDUSDT_h1/DYDXUSDT_h1,2.7042196518382786,2.7042196518382786
APEUSDT_h1/ACXUSDT_h1,2.665035311454424,2.665035311454424
WIFUSDT_h1/1000PEPEUSDT_h1,2.6378945485857552,2.6378945485857552
APEUSDT_h1/BANDUSDT_h1,-2.6167619783984546,2.6167619783984546
XRPUSDT_h1/BTCUSDT_h1,-2.513302247340819,2.513302247340819
HNTUSDT_h1/MOBILEUSDT_h1,2.446526868229404,2.446526868229404
APEUSDT_h1/ARBUSDT_h1,2.4453270345076312,2.4453270345076312
SUSHIUSDT_h1/BANDUSDT_h1,-2.4250474833349727,2.4250474833349727
ONGUSDT_h1/STORJUSDT_h1,-2.4101109778522924,2.4101109778522924
BANDUSDT_h1/FLOWUSDT_h1,2.3518793202845383,2.3518793202845383
SUSHIUSDT_h1/ARBUSDT_h1,2.2931842308351045,2.2931842308351045
MINAUSDT_h1/BANDUSDT_h1,-2.2597236111422068,2.2597236111422068
BNTUSDT_h1/ACXUSDT_h1,2.173124512587119,2.173124512587119
THETAUSDT_h1/BANDUSDT_h1,-2.142165388731136,2.142165388731136
HBARUSDT_h1/ALGOUSDT_h1,-2.135436074704875,2.135436074704875
APEUSDT_h1/THEUSDT_h1,2.1104763947574243,2.1104763947574243
ICXUSDT_h1/STORJUSDT_h1,-2.055892574361376,2.055892574361376
UNIUSDT_h1/LINKUSDT_h1,-2.017536536087194,2.017536536087194
BNTUSDT_h1/ASTRUSDT_h1,2.007074497795401,2.007074497795401
